slope_angle_deg,factor_of_safety,green_index,rainfall_mm_day,pore_pressure_kpa,risk_score
27.22,1.29,0.72,29.34,17.68,0.25
74.45,1.69,0.75,19.5,0.0,0.31
32.24,1.04,0.08,13.24,31.73,0.22
48.41,1.06,0.5,27.4,0.0,0.27
25.45,0.59,0.25,22.72,10.1,0.19
48.46,1.73,0.21,5.93,14.16,0.24
31.01,0.98,0.45,1.42,19.58,0.18
51.21,1.22,0.2,0.64,43.2,0.25
31.05,1.55,0.76,0.93,31.9,0.15
8.79,1.21,0.41,19.15,23.43,0.12
45.42,1.39,0.49,20.4,28.95,0.24
23.52,1.71,0.58,5.84,25.86,0.13
16.34,0.77,0.95,17.44,19.59,0.13
36.86,1.72,0.43,2.0,47.16,0.23
51.76,0.61,0.83,2.74,23.08,0.25
44.77,1.41,0.74,0.98,0.0,0.18
53.01,1.07,0.45,5.1,5.89,0.26
45.92,1.4,0.37,5.75,0.0,0.25
44.15,0.75,0.43,10.61,0.0,0.23
28.85,1.36,0.76,8.18,10.08,0.15
50.93,1.57,0.06,0.34,60.79,0.28
32.68,0.3,0.6,33.64,15.52,0.24
23.36,1.44,1.0,27.06,21.11,0.14
51.01,0.59,0.41,4.64,27.39,0.27
45.23,0.42,0.21,13.77,0.0,0.26
35.88,1.85,0.86,23.94,31.73,0.18
17.25,1.48,0.36,5.94,33.07,0.13
35.01,0.61,0.32,2.65,4.01,0.21
49.1,1.85,0.7,6.31,0.0,0.21
55.17,1.62,0.7,27.34,9.4,0.27
33.01,0.99,0.53,10.3,20.39,0.22
37.27,1.38,0.19,6.32,7.31,0.2
34.65,1.77,0.75,20.46,48.58,0.19
52.98,0.85,0.05,1.11,4.46,0.27
22.13,1.29,0.72,3.71,0.0,0.12
28.31,1.98,0.66,13.45,28.31,0.14
44.55,0.59,0.75,15.55,1.27,0.24
34.7,1.18,0.56,23.81,23.72,0.2
45.62,1.46,0.44,18.22,24.2,0.24
45.79,1.73,0.53,15.15,0.0,0.21
18.55,1.38,0.91,2.91,24.69,0.11
38.42,0.93,0.26,21.29,40.42,0.24
44.94,1.18,0.62,10.83,50.92,0.26
26.05,1.28,0.71,7.95,42.59,0.16
28.89,0.59,0.78,10.92,53.89,0.2
47.88,1.69,0.2,3.4,0.0,0.23
35.49,1.61,0.76,5.04,66.62,0.19
38.34,1.34,0.43,4.94,28.16,0.21
48.4,0.83,0.5,1.54,18.98,0.26
1.91,0.69,0.85,18.93,4.25,0.09
46.3,1.8,0.65,7.6,1.1,0.21
18.99,0.83,0.52,19.57,11.83,0.15
73.34,1.11,0.06,0.07,23.21,0.35
21.68,1.73,0.64,1.93,17.57,0.12
33.44,1.55,0.51,7.03,41.39,0.19
46.78,1.19,0.14,9.72,32.46,0.27
15.85,0.83,0.76,5.6,0.0,0.12
45.77,1.41,0.47,2.8,42.03,0.24
23.27,0.6,0.76,3.83,4.2,0.15
28.12,1.49,0.41,34.99,18.18,0.18
31.59,1.6,0.58,12.36,39.54,0.17
9.47,1.58,0.92,17.64,10.86,0.08
24.86,0.96,0.42,15.16,22.4,0.17
26.48,1.75,0.29,1.22,32.5,0.15
25.52,1.99,0.3,1.34,4.27,0.13
38.39,0.77,0.5,19.3,14.75,0.21
28.55,1.26,0.19,2.72,17.3,0.19
20.66,1.79,0.4,25.69,35.63,0.15
43.48,0.57,0.11,15.54,48.82,0.27
44.76,1.02,0.69,4.62,43.86,0.24
36.25,1.33,0.73,37.65,22.58,0.21
27.55,1.47,0.18,1.58,29.36,0.18
48.72,2.35,0.86,14.15,12.54,0.19
29.92,2.71,0.44,3.03,0.0,0.13
24.98,1.7,0.22,18.0,8.4,0.15
43.7,1.69,0.31,1.55,30.17,0.22
13.64,1.77,0.63,30.63,46.99,0.13
56.48,1.68,0.22,14.67,51.51,0.29
36.01,0.78,0.44,0.5,26.1,0.21
56.38,1.58,0.43,1.72,8.67,0.25
43.69,1.93,0.52,31.69,22.3,0.22
18.71,1.47,0.33,13.18,43.95,0.15
27.16,1.18,0.41,18.04,29.63,0.2
22.38,1.87,0.67,14.17,23.19,0.17
33.06,0.59,0.26,15.78,34.94,0.23
39.78,2.05,0.48,7.01,44.29,0.2
22.26,1.12,0.44,0.88,49.83,0.17
37.37,1.17,0.64,10.84,48.71,0.22
16.77,1.36,0.54,24.32,0.0,0.13
30.91,0.73,0.07,1.76,20.93,0.22
30.64,1.67,0.2,3.06,26.73,0.17
10.45,1.42,0.26,3.77,64.66,0.14
22.75,0.73,0.77,17.4,47.6,0.18
42.87,1.07,0.59,9.49,33.06,0.25
12.11,2.14,0.44,12.75,37.18,0.14
13.89,1.18,0.22,18.1,62.05,0.19
67.42,1.12,0.69,6.01,59.9,0.33
56.59,1.9,0.33,15.57,54.69,0.3
26.56,2.06,0.09,23.83,28.56,0.17
32.01,1.63,0.4,23.52,0.0,0.19
5.84,1.4,0.78,3.76,4.22,0.07
33.85,1.23,0.19,20.94,33.16,0.23
29.31,0.98,0.36,21.46,51.45,0.23
43.66,0.55,0.83,10.07,26.79,0.23
36.43,1.85,0.29,50.68,27.86,0.22
44.61,1.26,0.27,9.47,20.04,0.26
50.39,1.48,0.43,3.3,33.31,0.28
43.81,1.27,0.56,11.19,33.47,0.22
41.84,1.57,0.44,16.8,33.15,0.23
30.31,1.15,0.73,5.57,18.56,0.17
2.05,1.03,0.56,0.85,0.0,0.08
13.25,1.62,0.78,17.18,31.08,0.1
25.98,2.23,0.63,17.83,32.9,0.14
53.89,1.19,0.74,24.56,0.0,0.24
10.97,1.78,0.57,4.3,12.44,0.09
49.04,1.43,0.4,22.2,0.0,0.29
42.28,1.43,0.44,20.21,0.0,0.21
30.62,1.42,0.52,25.29,0.28,0.17
24.78,0.69,0.47,8.19,29.17,0.18
25.11,1.11,0.52,13.08,2.54,0.16
52.12,1.67,0.56,10.51,13.04,0.23
48.83,0.67,0.44,7.96,18.05,0.26
22.51,1.11,0.21,10.71,54.68,0.19
37.17,1.69,0.75,11.01,40.61,0.19
18.96,1.7,0.82,5.2,8.37,0.1
9.55,1.06,0.68,2.17,4.48,0.08
51.66,1.8,0.6,1.08,6.96,0.22
31.82,0.87,0.13,52.88,9.15,0.25
38.1,0.92,0.65,6.81,0.71,0.2
42.8,1.21,0.8,3.67,43.07,0.23
38.51,1.55,0.38,9.92,11.71,0.22
53.64,1.26,0.91,8.95,42.23,0.27
41.12,1.84,0.61,53.58,6.38,0.23
21.78,0.94,0.22,8.37,4.51,0.17
24.55,1.1,0.81,36.19,29.29,0.18
34.12,1.51,0.6,6.34,9.02,0.16
38.48,1.08,0.28,4.04,27.44,0.22
32.84,1.4,0.24,23.78,33.21,0.22
58.84,0.82,0.55,6.78,0.0,0.27
34.61,0.55,0.26,42.15,16.86,0.27
47.65,0.73,0.37,50.48,63.29,0.33
17.11,1.26,0.43,3.89,8.04,0.12
35.2,1.21,0.13,13.71,17.37,0.23
11.67,0.69,0.48,9.75,36.09,0.15
33.34,1.72,0.32,25.49,43.65,0.21
23.39,0.61,0.9,4.72,13.7,0.15
19.41,1.2,0.07,10.6,27.06,0.18
52.09,1.57,0.37,28.41,82.28,0.3
31.82,2.26,0.26,11.13,17.15,0.16
36.02,1.44,0.25,2.62,10.12,0.2
45.57,0.93,0.72,19.1,36.24,0.24
37.5,1.2,0.62,45.99,32.44,0.25
44.16,1.65,0.15,8.1,18.33,0.24
58.13,1.41,0.49,12.48,0.0,0.26
3.82,1.65,0.76,7.51,1.2,0.06
22.9,0.74,0.59,4.37,22.94,0.17
32.73,1.0,0.58,13.45,0.0,0.19
48.9,1.74,0.77,13.57,34.59,0.23
32.08,1.25,0.92,7.41,26.8,0.16
30.86,0.8,0.39,5.37,36.74,0.21
30.85,1.25,0.88,0.94,25.32,0.18
27.15,1.24,0.72,3.17,26.21,0.14
52.56,1.81,0.36,8.79,0.0,0.24
42.3,1.41,0.62,0.84,1.71,0.19
26.7,1.33,0.17,1.76,55.85,0.19
24.78,1.59,0.61,0.43,9.99,0.12
47.03,1.48,0.57,7.0,38.8,0.25
45.57,1.23,0.3,4.98,0.0,0.22
23.45,1.51,0.18,20.55,0.0,0.16
16.68,1.19,0.42,7.54,43.19,0.14
26.03,1.38,0.26,48.61,20.37,0.19
46.03,1.3,0.63,2.6,0.0,0.21
52.13,0.91,0.34,35.99,52.33,0.31
8.99,1.41,0.46,61.3,49.52,0.16
33.25,0.98,0.3,15.8,12.42,0.21
39.86,1.76,0.29,12.24,25.36,0.21
45.34,2.06,0.61,33.63,39.18,0.24
18.72,1.37,0.19,5.12,7.93,0.13
46.98,1.52,0.72,3.83,36.25,0.24
63.73,1.55,0.95,27.59,0.69,0.25
25.09,1.12,0.47,7.81,38.61,0.18
43.83,0.85,0.14,29.69,4.9,0.26
41.1,0.29,0.83,4.51,31.7,0.24
28.04,1.94,0.99,12.95,50.08,0.14
24.01,0.79,0.67,26.02,62.56,0.19
61.32,1.29,0.26,27.38,29.2,0.32
42.78,2.68,0.37,2.44,0.75,0.17
40.11,1.21,0.61,8.35,44.98,0.22
31.87,0.49,0.95,1.21,59.53,0.2
15.17,1.06,0.58,0.11,17.61,0.12
26.35,1.72,0.81,4.21,21.67,0.12
43.54,0.62,0.62,3.19,12.83,0.23
24.68,1.92,0.39,2.19,34.82,0.16
37.8,1.14,0.42,10.96,0.0,0.19
44.27,1.01,0.33,34.58,18.33,0.26
58.32,1.15,0.81,4.68,28.06,0.28
35.01,1.43,0.24,16.12,45.9,0.23
24.88,1.38,0.93,0.49,13.17,0.13
17.04,0.81,0.5,8.72,24.77,0.15
45.23,1.25,0.44,15.93,18.69,0.23
33.97,1.68,0.24,6.88,64.65,0.21
38.91,1.14,0.72,0.61,9.11,0.19
54.56,1.25,0.69,4.24,0.0,0.24
37.94,1.93,0.45,5.04,16.91,0.18
41.29,0.57,0.6,21.57,1.54,0.24
39.75,0.85,0.9,9.45,24.82,0.22
38.37,1.32,0.24,22.29,30.19,0.25
13.59,1.15,0.22,8.25,8.67,0.13
30.73,1.46,0.39,6.12,11.33,0.18
41.49,1.87,0.21,6.8,0.0,0.2
22.14,1.51,0.82,8.38,46.17,0.14
16.76,0.66,0.77,48.47,27.16,0.17
8.78,1.41,0.41,2.46,2.32,0.09
30.88,2.32,0.69,1.37,0.0,0.13
27.38,2.02,0.48,12.63,20.86,0.14
38.89,2.27,0.58,15.69,19.68,0.18
33.82,2.32,0.52,9.39,25.93,0.15
27.0,1.03,0.61,3.69,22.48,0.18
41.54,1.27,0.46,7.42,0.0,0.2
5.8,0.95,0.59,9.09,10.36,0.1
25.47,1.09,0.79,2.14,83.34,0.17
63.63,0.63,0.45,23.16,29.15,0.33
43.81,1.32,0.81,17.19,4.61,0.22
35.54,1.12,0.14,6.51,10.39,0.21
50.02,1.44,0.47,20.16,0.0,0.25
36.11,1.67,0.26,11.1,3.4,0.19
54.77,0.94,0.48,1.04,0.0,0.27
51.91,0.91,0.36,16.88,28.91,0.28
45.2,0.99,0.16,13.03,0.0,0.24
30.35,1.36,0.26,2.57,48.52,0.21
56.54,1.13,0.72,11.78,0.0,0.24
31.21,1.34,0.24,1.27,0.81,0.18
38.01,1.35,0.84,9.11,14.73,0.18
51.51,1.31,0.74,38.91,17.97,0.28
54.76,1.02,0.04,7.67,58.27,0.31
50.72,1.44,0.27,19.98,50.86,0.27
32.65,1.55,0.45,3.33,4.9,0.17
28.95,0.88,0.79,17.11,0.0,0.17
39.24,1.2,0.17,36.79,24.41,0.27
44.77,1.31,0.24,16.51,38.83,0.28
13.02,1.33,0.68,22.39,12.06,0.1
35.8,1.65,0.48,42.42,8.9,0.21
46.96,1.26,0.81,49.59,53.69,0.27
56.09,1.12,0.3,15.18,5.29,0.27
50.84,1.26,0.65,38.51,15.85,0.28
27.79,1.86,0.74,3.19,16.28,0.14
24.21,0.71,0.85,25.82,7.48,0.16
50.15,1.28,0.61,11.44,65.02,0.27
11.9,1.18,0.38,24.65,38.95,0.14
38.25,1.13,0.37,23.78,20.51,0.22
17.49,2.04,0.38,6.09,29.34,0.11
16.92,1.64,0.37,32.62,17.19,0.15
36.74,1.03,0.98,7.58,0.83,0.17
40.08,0.57,0.64,8.87,35.12,0.21
30.43,1.38,0.21,1.22,63.45,0.2
4.67,1.43,0.27,6.5,38.41,0.1
60.63,2.02,0.49,17.99,11.43,0.28
40.35,1.28,0.37,11.5,38.52,0.23
41.49,1.61,0.82,0.66,0.0,0.17
21.11,1.53,0.59,5.63,59.28,0.15
43.82,1.67,0.68,0.57,7.85,0.21
20.29,0.85,0.44,5.13,14.14,0.15
25.43,2.0,0.29,14.49,71.25,0.22
36.43,1.16,0.52,3.32,45.73,0.2
59.77,2.27,0.19,1.68,41.87,0.28
30.16,2.53,0.56,10.06,32.73,0.18
9.52,0.62,0.11,40.06,16.77,0.16
52.69,1.4,0.77,7.34,26.84,0.24
30.62,0.69,0.21,9.21,14.48,0.21
38.1,2.26,0.35,2.05,0.0,0.17
35.77,1.28,0.49,5.78,5.78,0.2
21.76,1.93,0.23,19.01,28.18,0.15
30.97,1.22,0.09,16.41,29.34,0.21
39.17,1.11,0.59,10.49,55.35,0.25
28.85,1.31,0.57,19.67,27.14,0.21
29.49,0.71,0.49,1.28,0.75,0.19
59.52,1.0,0.59,30.49,48.75,0.31
32.41,2.13,0.39,37.73,29.3,0.19
31.42,1.01,0.4,4.26,8.23,0.18
33.27,1.5,0.43,9.67,20.63,0.17
34.64,1.67,0.37,4.32,34.61,0.19
58.26,1.29,0.46,1.11,55.52,0.28
48.54,1.47,0.2,9.81,45.12,0.28
32.12,1.25,0.83,6.06,32.41,0.18
48.26,1.14,0.5,13.36,0.0,0.23
11.87,0.83,0.37,7.19,28.99,0.13
32.7,1.2,0.37,12.21,21.69,0.2
47.59,1.3,0.43,27.9,36.78,0.27
26.9,1.89,0.85,25.11,23.06,0.13
35.43,0.86,0.56,6.09,16.95,0.2
29.27,1.43,0.56,34.31,24.12,0.19
25.58,1.65,0.37,3.42,20.19,0.16
53.67,0.71,0.37,5.07,0.67,0.27
20.97,1.58,0.11,4.64,69.28,0.18
59.64,2.18,0.55,10.56,0.0,0.25
48.01,1.64,0.75,4.88,19.95,0.21
68.59,1.77,0.63,41.92,0.0,0.3
41.72,0.95,0.26,20.21,25.65,0.29
42.13,1.09,0.35,0.39,27.5,0.24
28.84,1.31,0.48,20.82,10.02,0.17
38.63,0.86,0.64,9.25,14.79,0.22
26.6,1.12,0.74,11.18,15.06,0.15
34.84,1.81,0.72,9.42,0.0,0.15
49.15,2.3,0.71,5.51,43.34,0.22
31.68,1.84,0.69,43.79,63.03,0.2
21.13,2.1,0.55,16.49,40.16,0.13
24.34,1.26,0.38,4.33,28.04,0.16
49.61,0.99,0.54,22.05,28.48,0.27
33.3,1.94,0.27,6.5,23.97,0.18
43.3,1.49,0.37,26.02,30.73,0.25
37.86,1.18,0.25,1.87,0.0,0.2
17.85,2.03,0.39,8.07,30.2,0.18
40.85,0.53,0.2,22.22,43.81,0.29
47.55,1.19,0.59,16.04,50.53,0.27
57.02,1.69,0.42,1.67,30.91,0.26
53.18,1.09,0.62,1.68,54.0,0.28
3.2,1.37,0.52,35.22,10.57,0.1
39.47,1.65,0.09,0.21,2.75,0.2
34.01,1.51,0.48,26.77,19.31,0.2
35.46,1.12,0.38,10.22,25.34,0.22
18.09,1.35,0.61,5.73,74.45,0.16
35.43,1.36,0.47,2.79,13.18,0.19
42.21,1.19,0.11,32.77,5.43,0.25
40.15,0.83,0.63,20.18,41.22,0.23
17.62,1.44,0.55,2.64,18.67,0.12
27.29,1.23,0.27,14.02,0.0,0.18
50.36,1.67,0.81,70.71,17.54,0.26
27.3,1.02,0.82,2.64,43.49,0.16
30.46,1.65,0.55,3.08,0.0,0.15
9.56,1.63,0.37,15.03,30.39,0.12
17.82,1.17,0.43,12.82,16.67,0.13
18.67,1.28,0.43,1.03,28.23,0.16
34.32,1.92,0.77,12.71,0.0,0.16
54.48,1.5,0.75,23.57,17.17,0.24
28.71,1.45,0.51,1.09,22.79,0.17
83.68,1.54,0.58,2.77,0.0,0.31
59.26,1.42,0.5,6.29,32.75,0.3
57.18,1.46,0.22,38.19,47.28,0.32
31.76,1.68,0.15,6.61,11.19,0.19
35.07,1.78,0.24,6.01,0.0,0.18
46.02,0.96,0.56,26.07,0.0,0.24
37.04,1.6,0.36,2.06,10.92,0.19
34.73,1.71,0.66,1.9,8.4,0.15
30.2,1.54,0.16,3.59,41.33,0.19
48.24,1.71,0.73,8.76,0.0,0.21
24.61,2.07,0.79,4.59,26.32,0.11
24.2,1.47,0.54,27.34,5.44,0.17
46.62,2.15,0.07,5.51,22.43,0.22
51.16,1.42,0.47,9.12,10.15,0.24
56.56,1.14,0.24,1.03,3.18,0.26
40.83,1.55,0.6,9.09,5.1,0.2
30.09,1.81,0.4,11.32,5.22,0.15
31.76,2.03,0.37,14.4,0.0,0.18
52.1,0.3,0.62,9.76,21.75,0.27
26.99,0.84,0.75,15.18,22.89,0.17
1.98,1.19,0.18,11.41,11.41,0.11
40.52,1.22,0.1,7.41,12.17,0.24
30.2,0.9,0.37,25.01,37.22,0.21
43.55,0.87,0.42,7.87,22.32,0.26
21.53,1.19,0.61,12.41,15.1,0.15
56.1,1.6,0.69,0.57,7.98,0.25
36.71,1.96,0.5,1.43,32.53,0.19
50.67,0.95,0.64,8.75,11.23,0.24
25.53,0.89,0.7,18.61,39.02,0.18
46.23,1.03,0.96,2.41,34.05,0.22
30.98,0.73,0.22,1.45,13.07,0.2
22.26,1.39,0.53,12.15,27.01,0.15
20.9,0.94,0.31,19.73,41.95,0.19
42.89,0.83,0.49,21.23,19.19,0.23
30.32,1.88,0.52,18.76,0.0,0.15
51.39,1.15,0.25,50.64,25.88,0.3
28.3,0.83,0.29,19.81,63.61,0.24
48.94,1.46,0.45,29.32,26.13,0.27
54.0,1.83,0.83,3.13,11.15,0.21
25.08,1.74,0.4,17.46,12.37,0.16
42.54,0.33,0.15,1.34,32.52,0.27
64.35,1.1,0.95,22.13,13.98,0.28
34.61,1.54,0.41,16.01,0.0,0.19
24.03,1.29,0.67,3.9,40.67,0.15
40.03,1.31,0.42,2.5,0.32,0.2
53.54,2.33,0.88,15.81,48.6,0.23
27.28,1.7,0.8,17.71,42.98,0.16
31.09,0.73,0.32,16.81,10.69,0.21
24.62,0.48,0.4,29.11,19.37,0.19
40.1,0.61,0.91,10.28,28.97,0.22
62.71,2.1,0.82,12.71,35.32,0.24
42.5,1.82,0.42,10.35,53.58,0.22
29.91,1.41,0.74,4.28,27.05,0.15
25.63,1.23,0.38,6.0,34.83,0.18
37.63,1.21,0.29,4.88,28.25,0.24
48.63,1.24,0.64,30.37,18.18,0.24
35.4,1.62,0.78,38.4,24.71,0.2
48.95,1.46,0.62,27.09,29.79,0.25
62.42,2.23,0.45,11.55,24.27,0.27
53.47,0.92,0.45,0.87,0.0,0.25
24.13,1.02,0.17,0.28,23.81,0.18
23.7,1.12,0.65,38.01,8.89,0.17
31.6,1.21,0.13,1.87,0.0,0.2
12.02,1.34,0.8,7.25,11.48,0.09
18.28,0.78,0.41,8.72,26.03,0.15
28.21,1.18,0.46,0.91,22.74,0.16
51.37,1.75,0.25,33.56,19.28,0.27
39.16,0.9,0.3,14.95,0.0,0.22
51.42,1.42,0.6,10.33,28.95,0.25
55.28,0.78,0.5,0.98,0.87,0.27
23.17,1.86,0.37,18.0,25.22,0.15
29.81,0.85,0.47,0.34,14.65,0.18
2.02,2.11,0.42,16.51,26.04,0.1
55.54,1.74,0.93,6.13,29.03,0.25
22.66,1.1,0.54,5.75,10.66,0.16
56.63,2.16,0.3,27.95,53.46,0.28
34.5,0.39,0.34,6.31,71.35,0.25
33.62,1.36,0.35,15.91,18.03,0.19
41.64,2.22,0.41,26.53,25.71,0.22
7.84,0.94,0.48,10.66,37.03,0.11
36.0,1.58,0.42,32.7,0.55,0.19
25.04,1.61,0.15,14.8,22.93,0.18
11.78,1.38,0.31,9.92,28.84,0.13
22.5,1.59,0.55,9.48,18.03,0.13
54.95,1.14,0.96,10.41,0.0,0.25
52.4,0.85,0.42,22.18,0.0,0.27
34.12,1.46,0.31,1.0,20.59,0.19
20.15,1.33,0.22,30.29,0.0,0.16
41.07,1.51,0.22,36.6,12.94,0.24
22.21,1.22,0.13,12.57,0.0,0.16
21.72,1.2,0.22,19.81,1.7,0.16
26.81,1.11,0.35,2.42,0.0,0.16
25.02,1.73,0.34,2.2,66.03,0.17
8.29,1.64,0.49,3.29,46.81,0.1
24.77,0.78,0.54,11.28,72.86,0.2
33.69,1.37,0.6,27.16,19.62,0.22
31.96,1.45,0.32,21.85,34.0,0.21
20.07,1.68,0.37,13.85,37.96,0.15
13.31,2.09,0.62,13.1,10.11,0.09
32.78,1.29,0.9,23.25,31.02,0.18
29.4,0.36,0.71,46.19,3.74,0.21
28.39,1.37,0.67,13.62,17.07,0.19
30.85,1.57,0.34,40.62,25.46,0.19
42.47,1.59,0.52,3.75,4.07,0.19
30.02,1.83,0.73,6.06,27.09,0.14
28.35,1.29,0.29,10.05,52.26,0.2
50.36,1.56,0.6,0.76,0.0,0.22
39.1,2.28,0.5,4.43,1.89,0.17
30.55,1.09,0.54,2.19,0.0,0.16
57.17,0.93,0.13,13.76,49.33,0.31
18.72,1.19,0.58,19.2,33.01,0.15
44.11,0.79,0.76,20.53,0.0,0.22
21.66,1.31,0.35,1.81,29.73,0.15
33.49,0.89,0.28,27.01,50.62,0.24
38.38,1.45,0.45,17.24,2.93,0.19
27.41,0.97,0.64,3.76,46.98,0.17
39.98,1.51,0.84,17.5,0.0,0.19
45.39,1.16,0.22,1.96,21.55,0.25
39.41,1.51,0.73,13.19,41.68,0.22
33.43,1.25,0.31,14.47,34.55,0.23
46.28,1.17,0.73,28.42,31.29,0.24
42.15,1.41,0.61,24.55,59.46,0.26
17.92,1.36,0.92,14.47,7.05,0.12
39.72,1.75,0.51,13.88,0.0,0.19
24.45,1.67,0.55,1.41,31.56,0.14
60.67,1.38,0.88,1.73,19.83,0.27
26.28,1.21,0.49,6.73,65.0,0.2
30.24,0.93,0.49,7.4,42.89,0.2
29.44,1.72,0.18,13.26,38.93,0.18
24.91,1.37,0.56,27.19,24.53,0.17
22.71,1.54,0.81,2.08,41.98,0.13
28.58,1.28,0.53,0.86,34.91,0.18
41.18,2.04,0.72,7.61,64.8,0.22
26.72,1.14,0.33,11.49,15.64,0.17
42.56,0.45,0.29,20.68,19.34,0.27
55.65,0.93,0.24,15.53,13.28,0.28
24.72,1.47,0.28,2.54,56.15,0.18
38.21,1.5,0.7,7.38,59.61,0.23
63.59,1.32,0.66,7.43,6.72,0.28
37.49,1.69,0.42,2.88,15.13,0.2
38.31,1.18,0.3,31.74,41.72,0.25
57.32,0.92,0.46,0.34,41.0,0.28
30.96,1.05,0.57,6.2,16.83,0.21
40.52,1.5,0.45,5.46,30.38,0.2
34.38,0.44,0.42,10.24,12.91,0.22
41.35,1.72,0.8,16.0,49.01,0.21
56.18,1.26,0.12,24.15,0.0,0.28
33.48,1.29,0.58,2.4,0.0,0.17
43.8,0.32,0.48,0.43,10.3,0.27
20.31,2.46,0.53,7.74,25.22,0.1
33.43,1.44,0.57,14.03,61.75,0.21
38.76,1.26,0.85,9.71,7.85,0.18
32.01,1.69,0.27,2.76,35.93,0.2
12.91,1.42,0.73,8.97,42.89,0.12
50.69,1.39,0.37,29.25,44.46,0.27
59.22,1.81,0.45,39.96,45.64,0.31
46.44,1.63,0.55,16.63,15.18,0.25
39.87,1.76,0.53,27.37,86.63,0.24
40.11,1.47,0.62,8.35,26.98,0.19
36.88,1.81,0.32,29.14,37.95,0.27
49.14,1.22,0.72,20.32,6.45,0.24
49.25,0.41,0.83,10.51,0.0,0.25
38.77,1.49,0.4,2.96,26.26,0.19
39.77,1.77,0.57,6.74,37.29,0.22
37.96,1.58,0.32,8.69,34.99,0.22
46.11,1.49,0.79,37.74,68.31,0.25
41.19,1.6,0.56,4.33,9.34,0.2
59.56,1.37,0.81,26.34,31.94,0.29
38.85,1.09,0.45,6.96,59.78,0.24
12.17,1.96,0.32,4.15,21.6,0.1
34.8,1.01,0.6,7.13,44.63,0.2
57.97,1.56,0.3,27.34,26.25,0.3
50.35,1.08,0.77,16.61,6.21,0.23
48.51,1.04,0.62,28.23,42.26,0.26
9.65,1.22,0.45,4.88,45.05,0.12
41.12,1.42,0.48,6.01,33.16,0.22
31.3,1.39,0.29,1.98,24.4,0.18
42.17,2.57,0.73,28.75,1.88,0.21
24.1,1.68,0.39,17.77,7.67,0.15
34.01,1.67,0.19,10.93,0.0,0.17
46.25,1.94,0.84,29.52,41.78,0.2
46.46,1.59,0.29,11.27,0.0,0.22
33.84,1.22,0.83,6.23,4.78,0.18
33.19,1.56,0.28,54.04,0.0,0.21
50.48,1.5,0.4,1.02,22.88,0.24
26.18,1.18,0.36,6.77,19.9,0.17
32.14,2.04,0.77,12.21,0.0,0.13
53.16,1.25,0.47,2.84,43.17,0.28
44.66,1.19,0.35,0.43,35.81,0.23
35.92,1.73,0.48,16.39,50.32,0.21
31.41,1.39,0.72,14.3,15.91,0.18
45.07,1.11,0.71,7.0,0.0,0.22
32.47,1.5,0.81,36.14,33.12,0.19
32.05,1.18,0.66,4.12,34.58,0.17
27.41,0.62,0.3,13.77,4.74,0.2
27.41,1.33,0.88,15.44,38.4,0.17
44.31,1.6,0.39,24.98,20.53,0.23
17.88,0.71,0.23,10.61,29.55,0.17
37.91,0.83,0.84,6.78,40.91,0.21
29.91,0.84,0.76,31.47,32.46,0.21
48.76,0.74,0.31,22.13,30.47,0.29
44.63,2.26,0.83,6.47,38.12,0.17
26.69,1.25,0.32,1.34,1.72,0.15
34.96,1.31,0.38,10.45,20.62,0.2
28.34,1.04,0.3,5.68,6.35,0.18
27.63,1.56,0.53,12.03,9.05,0.16
40.53,1.82,0.35,14.5,20.97,0.2
57.07,1.31,0.51,25.59,47.12,0.29
31.2,0.48,0.82,20.7,31.7,0.2
28.04,1.2,0.43,22.4,42.41,0.23
20.07,1.51,0.26,15.62,15.26,0.16
52.7,0.81,0.44,45.24,3.72,0.29
42.97,1.47,0.47,13.84,0.0,0.22
31.86,1.81,0.85,11.57,33.36,0.16
30.74,1.23,0.68,1.08,22.03,0.18
61.27,1.41,0.97,8.41,12.74,0.28
41.96,1.86,0.3,9.13,20.32,0.23
33.89,2.24,0.17,13.28,46.28,0.2
40.36,1.19,0.36,4.03,4.41,0.24
35.13,0.68,0.85,7.72,0.0,0.18
37.97,1.45,0.34,16.85,5.63,0.2
56.15,1.21,0.51,7.46,35.16,0.29
26.99,0.88,0.34,13.53,45.88,0.2
55.22,1.5,0.39,4.08,0.0,0.25
39.33,1.5,0.11,50.03,0.0,0.24
29.18,1.76,0.67,0.77,42.73,0.15
27.65,2.02,0.59,6.78,0.0,0.12
31.47,1.14,0.28,17.38,0.0,0.2
21.97,1.74,0.61,4.6,35.78,0.15
23.02,1.86,0.6,9.18,40.75,0.15
39.89,1.39,0.51,9.29,20.77,0.22
51.59,2.5,0.79,8.65,29.81,0.19
39.05,0.66,0.54,15.89,6.04,0.23
35.73,0.97,0.39,15.27,0.0,0.21
39.39,1.23,0.39,18.06,15.91,0.23
23.49,1.47,0.17,13.43,0.0,0.16
32.28,0.86,0.78,23.59,44.57,0.21
65.17,1.11,0.32,19.65,0.08,0.32
49.73,1.31,0.69,26.61,0.0,0.22
15.29,1.04,0.65,7.72,17.13,0.12
58.59,0.74,0.61,11.2,64.1,0.3
21.92,1.27,0.58,2.79,0.0,0.12
34.93,1.26,0.14,0.77,22.7,0.22
58.09,1.18,0.18,1.0,12.14,0.28
72.11,1.71,0.82,24.26,1.15,0.32
35.66,2.05,0.66,15.51,51.45,0.2
